index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,05_Ay,cyprus,0,0,0,0.043478,0.940000,AY,1,cmu_ay
1,22_MBP,cyprus,0,0,0,0.072464,1.000000,P,2,cmu_bilabial
2,07_Aa,has,1,0,0,0.217391,0.920000,AE,1,cmu_open_vowel
3,22_MBP,beautiful,2,0,0,0.274457,1.000000,B,0,cmu_bilabial
4,11_Oo,beautiful,2,0,0,0.328804,0.920000,UW,2,cmu_oo_vowel
5,20_FV,beautiful,2,0,0,0.410326,0.960000,F,5,cmu_fv
6,22_MBP,beaches,3,0,0,0.491304,1.000000,B,0,cmu_bilabial
7,03_Ee,beaches,3,0,0,0.517391,0.920000,IY,1,cmu_front_vowel
8,14_ChJjSh,beaches,3,0,0,0.543478,0.820000,CH,2,cmu_affricate_sibilant
9,07_Aa,and,4,0,0,0.623188,0.500000,AH,0,cmu_open_vowel
10,03_Ee,rich,5,0,0,0.739130,0.920000,IH,1,cmu_front_vowel
11,14_ChJjSh,rich,5,0,0,0.768116,0.820000,CH,2,cmu_affricate_sibilant
12,03_Ee,history,6,0,0,0.836957,0.920000,IH,1,cmu_front_vowel
