index,start,center,end,pose,word,word_index,phrase_index,sentence_index,strength,reason,alignment_reason,source_phone_class,mapped_to_observed_speech
0,0.119200,0.186700,0.254200,12_Ww-Oo-,what,0,0,0,0.880000,streaming_forced_alignment,streaming_forced_alignment_viterbi,glide,1
1,0.201500,0.269000,0.336500,07_Aa,what,0,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
2,0.444000,0.499000,0.554000,05_Ay,kind,1,0,0,0.940000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
3,0.596500,0.664000,0.731500,07_Aa,of,2,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
4,0.670000,0.720000,0.770000,20_FV,of,2,0,0,0.960000,streaming_forced_alignment,streaming_forced_alignment_viterbi,labiodental,1
5,0.821500,0.889000,0.956500,07_Aa,sandwich,3,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
6,0.971500,1.039000,1.106500,12_Ww-Oo-,sandwich,3,0,0,0.880000,streaming_forced_alignment,streaming_forced_alignment_viterbi,glide,1
7,1.234500,1.282000,1.329500,14_ChJjSh,sandwich,3,0,0,0.820000,streaming_forced_alignment,streaming_forced_alignment_viterbi,sibilant,1
8,1.406500,1.474000,1.541500,11_Oo,do,4,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
9,1.556500,1.624000,1.691500,11_Oo,you,5,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
10,1.645000,1.695000,1.745000,20_FV,fancy,6,0,0,0.960000,streaming_forced_alignment,streaming_forced_alignment_viterbi,labiodental,1
11,1.756500,1.824000,1.891500,07_Aa,fancy,6,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
12,2.041500,2.109000,2.176500,03_Ee,fancy,6,0,0,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
