Metric,Value
CaseId,case_000005
Transcript,"No freebies, Matthew. But how about a discount on your next visit?"
PlannedEventCount,25
CommittedEventCount,25
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.1012
EstimatedTextDurationSec,2.97791
AudioDurationSec,3.89687
EffectiveSegmentScaleMax,1.44206
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0214013
MaxVisiblePoseGapSec,0.166667
VisiblePoseGapCountOver250ms,0
