word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,mercury,0.000000,0.740000,0,-1,-1
1,venus,0.810000,1.450000,0,-1,-1
2,earth,1.570000,2.030000,0,-1,-1
3,mars,2.080000,2.670000,0,-1,-1
4,jupiter,2.730000,3.230000,0,-1,-1
5,saturn,3.230000,3.830000,0,-1,-1
6,uranus,3.940000,4.610000,0,-1,-1
7,neptune,4.690000,5.320000,0,-1,-1
8,basic,5.880000,6.300000,1,-1,-1
9,solar,6.300000,6.720000,1,-1,-1
10,system,6.720000,7.110000,1,-1,-1
11,tour,7.110000,7.520000,1,-1,-1
