word_index,word,start,end,speech_region_index,sentence_index
0,she,0.390000,0.570000,0,-1
1,described,0.570000,1.050000,0,-1
2,the,1.050000,1.150000,0,-1
3,room,1.150000,1.420000,0,-1
4,as,1.420000,1.560000,0,-1
5,bright,1.560000,2.160000,0,-1
6,quiet,2.320000,2.930000,1,-1
7,spacious,3.110000,4.040000,2,-1
8,comfortable,4.200000,4.990000,3,-1
9,clean,5.100000,5.740000,3,-1
10,modern,5.850000,6.460000,3,-1
11,and,6.810000,6.980000,4,-1
12,surprisingly,6.980000,7.660000,4,-1
13,warm,7.660000,8.150000,4,-1
