Metric,Value
CaseId,case_000056
Transcript,"The ciabatta? It's a simple dough with yeast, water, flour, and salt. No eggs or butter. Knead it less for a chewier texture."
PlannedEventCount,41
CommittedEventCount,41
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.0243902
PeakTimingMAEMs,9.00261
EstimatedTextDurationSec,6.80034
AudioDurationSec,8.13688
EffectiveSegmentScaleMax,1.5
ScaleCapHitCount,0
CommitLeadMeanSec,0.0833288
MaxVisiblePoseGapSec,0.816678
VisiblePoseGapCountOver250ms,4
