EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,24_Tongue_Th,FVS,the,0,0,0,0.00908163,0.0308791,0.42,SimpleBudgetV1
1,06_Eh,EEE,the,0,0,0.0118708,0.0218708,0.114727,0.74,SimpleBudgetV1
2,07_Aa,AAA,ciabatta,1,0,0.0306123,0.0482993,0.268313,0.86,SimpleBudgetV1
3,22_MBP,MBP,ciabatta,1,0,0.0488095,0.0651361,0.387434,1,SimpleBudgetV1
4,24_Tongue_Th,FVS,ciabatta,1,0,0.055102,0.070068,0.4256,0.42,SimpleBudgetV1
5,07_Aa,AAA,ciabatta,1,0,0.0489796,0.0843538,0.453356,0.86,SimpleBudgetV1
6,07_Aa,AAA,ciabatta,1,0,0.0789116,0.10068,0.610643,0.86,SimpleBudgetV1
7,04_Ih,EEE,it's,2,1,0.128118,0.14777,0.938067,0.64,SimpleBudgetV1
8,07_Aa,AAA,a,3,1,0.164599,0.174599,1.15333,0.86,SimpleBudgetV1
9,22_MBP,MBP,simple,4,1,0.195828,0.2078,1.3724,1,SimpleBudgetV1
10,06_Eh,EEE,simple,4,1,0.196992,0.222933,1.42781,0.74,SimpleBudgetV1
11,09_Oh,OOO,dough,5,1,0.243008,0.262661,1.71936,0.82,SimpleBudgetV1
12,12_Ww-Oo-,WUH,with,6,1,0.267952,0.280045,1.86328,1,SimpleBudgetV1
13,04_Ih,EEE,with,6,1,0.280801,0.300454,1.97636,0.22,SimpleBudgetV1
14,24_Tongue_Th,FVS,with,6,1,0.287328,0.297328,1.98793,0.42,SimpleBudgetV1
15,03_Ee,EEE,yeast,7,1,0.318594,0.338246,2.23337,0.86,SimpleBudgetV1
16,12_Ww-Oo-,WUH,water,8,2,0.364082,0.380045,2.53016,1,SimpleBudgetV1
17,07_Aa,AAA,water,8,2,0.381043,0.406984,2.67943,0.86,SimpleBudgetV1
18,06_Eh,EEE,water,8,2,0.392018,0.407982,2.72014,0.74,SimpleBudgetV1
19,20_FV,FVS,flour,9,3,0.435287,0.445287,2.9941,1,SimpleBudgetV1
20,09_Oh,OOO,flour,9,3,0.447846,0.467498,3.11233,0.82,SimpleBudgetV1
21,07_Aa,AAA,and,10,4,0.505113,0.515113,3.46895,0.86,SimpleBudgetV1
22,07_Aa,AAA,salt,11,4,0.533636,0.553288,3.69573,0.86,SimpleBudgetV1
23,09_Oh,OOO,no,12,5,0.590903,0.600903,4.05235,0.82,SimpleBudgetV1
24,06_Eh,EEE,eggs,13,5,0.619426,0.639078,4.27913,0.74,SimpleBudgetV1
25,10_Or,OOO,or,14,5,0.655907,0.665907,4.49439,0.287225,SimpleBudgetV1
26,22_MBP,MBP,butter,15,5,0.671338,0.683311,4.60604,1,SimpleBudgetV1
27,18_Uh,AAA,butter,15,5,0.677823,0.691791,4.65692,0.68,SimpleBudgetV1
28,06_Eh,EEE,butter,15,5,0.688299,0.71424,4.76887,0.74,SimpleBudgetV1
29,03_Ee,EEE,knead,16,6,0.755102,0.774754,5.20177,0.86,SimpleBudgetV1
30,04_Ih,EEE,it,17,6,0.791584,0.801584,5.41704,0.54,SimpleBudgetV1
31,06_Eh,EEE,less,18,6,0.820106,0.839758,5.64382,0.74,SimpleBudgetV1
32,20_FV,FVS,for,19,6,0.84407,0.85407,5.77397,1,SimpleBudgetV1
33,10_Or,OOO,for,19,6,0.856587,0.866587,5.85909,0.227183,SimpleBudgetV1
34,07_Aa,AAA,a,20,6,0.883798,0.893798,6.04413,0.86,SimpleBudgetV1
35,14_ChJjSh,FVS,chewier,21,6,0.900227,0.9122,6.16256,0.685411,SimpleBudgetV1
36,06_Eh,EEE,chewier,21,6,0.911059,0.925028,6.24301,0.74,SimpleBudgetV1
37,16_Ww-Ew-,WUH,chewier,21,6,0.916191,0.942132,6.31861,1,SimpleBudgetV1
38,03_Ee,EEE,chewier,21,6,0.927878,0.943842,6.36417,0.86,SimpleBudgetV1
39,06_Eh,EEE,texture,22,6,0.953819,0.967787,6.53379,0.74,SimpleBudgetV1
40,06_Eh,EEE,texture,22,6,0.966077,0.992018,6.65786,0.74,SimpleBudgetV1
