word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,eritrea,0.490000,1.050000,0,-1,-1
1,has,1.050000,1.260000,0,-1,-1
2,beautiful,1.260000,1.800000,0,-1,-1
3,coastal,1.800000,2.280000,0,-1,-1
4,areas,2.280000,2.770000,0,-1,-1
5,and,2.770000,2.950000,0,-1,-1
6,historic,2.950000,3.470000,0,-1,-1
7,sites,3.470000,4.000000,0,-1,-1
8,want,4.400000,4.640000,1,-1,-1
9,to,4.640000,4.700000,1,-1,-1
10,try,4.700000,4.950000,1,-1,-1
11,a,4.950000,5.040000,1,-1,-1
12,sandwich,5.040000,5.670000,1,-1,-1
