word_index,word,start,end,speech_region_index,sentence_index
0,you,0.350000,0.450000,0,-1
1,may,0.450000,0.580000,0,-1
2,borrow,0.580000,0.940000,0,-1
3,the,0.940000,1.040000,0,-1
4,camera,1.040000,1.610000,0,-1
5,provided,1.930000,2.360000,1,-1
6,that,2.360000,2.460000,1,-1
7,you,2.460000,2.600000,1,-1
8,return,2.600000,3.010000,1,-1
9,it,3.010000,3.160000,1,-1
10,before,3.160000,3.450000,1,-1
11,the,3.450000,3.540000,1,-1
12,weekend,3.540000,3.960000,1,-1
13,begins,3.960000,4.490000,1,-1
