ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,05_Ay,i,0,0,0.080821,0.479305,0.44,0.51861,0.84,0.119305,0.12,1.13475
1,1,07_Aa,can,1,0,0.228031,0.64635,0.618509,0.674191,0.86,0.0863503,0.12,1.13475
2,2,09_Oh,only,2,0,0.32172,0.752664,0.71063,0.794699,0.82,0.112664,0.12,1.13475
3,3,03_Ee,only,2,0,0.44211,0.889276,0.811212,0.967339,0.86,0.0892757,0.12,1.13475
4,4,03_Ee,only,2,0,0.520165,0.977848,0.929809,1.02589,0.86,0.0978479,0.12,1.13475
5,5,04_Ih,imagine,3,0,0.579538,1.04522,0.992997,1.09745,0.68,0.0852211,0.12,1.13475
6,6,22_MBP,imagine,3,0,0.623682,1.09531,1.05055,1.14008,1,0.0953139,0.12,1.13475
7,7,07_Aa,imagine,3,0,0.743906,1.23174,1.14424,1.31924,0.86,0.111737,0.12,1.13475
8,8,07_Aa,imagine,3,0,0.822802,1.32126,1.26531,1.37722,0.86,0.0812646,0.12,1.13475
9,9,22_MBP,must,4,1,1.12227,1.66108,1.63358,1.68858,1,0.101081,0.12,1.13475
10,10,18_Uh,must,4,1,1.21848,1.77026,1.71112,1.8294,0.290068,0.0902611,0.12,1.13475
11,11,03_Ee,keep,5,1,1.41893,1.99772,1.93858,2.05686,0.86,0.11772,0.12,1.13475
12,12,22_MBP,keep,5,1,1.47806,2.06482,2.03732,2.09232,1,0.10482,0.12,1.13475
13,13,11_Oo,you,6,1,1.61537,2.22063,2.13874,2.30251,0.94,0.100629,0.12,1.13475
14,14,09_Oh,on,7,1,1.78728,2.4157,2.38786,2.44354,0.82,0.0956974,0.12,1.13475
15,15,10_Or,your,8,1,1.96816,2.62095,2.55044,2.69147,0.75,-0.565921,0.15,1.13475
16,16,06_Eh,toes,9,1,2.1646,2.84386,2.78472,2.903,0.74,-0.343012,0.15,1.13475
