Metric,Value
CaseId,case_000191
Transcript,"Iraq is famous for the Hanging Gardens, one of the Seven Wonders of the Ancient World."
PlannedEventCount,35
CommittedEventCount,35
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.33127
EstimatedTextDurationSec,3.55936
AudioDurationSec,4.85687
EffectiveSegmentScaleMax,1.33975
ScaleCapHitCount,0
CommitLeadMeanSec,0.0206179
MaxVisiblePoseGapSec,0.133333
VisiblePoseGapCountOver250ms,0
