ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,04_Ih,iraq,0,0,0.0362992,0.516299,0.48,0.552598,0.696279,0.0762993,0.09,1
1,1,07_Aa,iraq,0,0,0.158895,0.638895,0.567666,0.710123,0.86,0.0788946,0.09,1
2,2,04_Ih,is,1,0,0.360626,0.840626,0.813126,0.868126,0.22,0.080626,0.09,1
3,3,20_FV,famous,2,0,0.456262,0.936262,0.903387,0.969136,1,0.0562615,0.09,1
4,4,07_Aa,famous,2,0,0.491876,0.971876,0.933522,1.01023,0.86,0.0518758,0.09,1
5,5,22_MBP,famous,2,0,0.537535,1.01754,0.984661,1.05041,1,0.0575352,0.09,1
6,6,09_Oh,famous,2,0,0.582281,1.06228,0.991053,1.13351,0.82,0.0622814,0.09,1
7,7,20_FV,for,3,0,0.715275,1.19527,1.16777,1.22277,1,0.0752748,0.09,1
8,8,10_Or,for,3,0,0.784013,1.26401,1.23651,1.29151,0.22,0.064013,0.09,1
9,9,24_Tongue_Th,the,4,0,0.869188,1.34919,1.32169,1.37669,0.42,0.0691885,0.09,1
10,10,06_Eh,the,4,0,0.939421,1.41942,1.39192,1.44692,0.74,0.0594211,0.09,1
11,11,07_Aa,hanging,5,0,1.05491,1.67538,1.63192,1.71884,0.86,0.0753782,0.09,1.13316
12,12,07_Aa,hanging,5,0,1.1551,1.81538,1.73106,1.8997,0.86,0.0553783,0.09,1.18376
13,13,07_Aa,gardens,6,0,1.32887,2.05306,2.00766,2.09846,0.86,0.0530607,0.09,1.18376
14,14,07_Aa,gardens,6,0,1.42906,2.19306,2.10556,2.28056,0.86,0.0730608,0.09,1.33975
15,15,09_Oh,one,7,1,2.00392,2.59553,2.55216,2.63891,0.82,0.0755343,0.09,1.1309
16,16,06_Eh,one,7,1,2.11716,2.73553,2.65498,2.81609,0.74,0.0555346,0.09,1.1309
17,17,06_Eh,one,7,1,2.18656,2.83717,2.7876,2.88674,0.74,0.0771694,0.09,1.1309
18,18,09_Oh,of,8,1,2.31889,3.01606,2.98733,3.04479,0.82,0.0560627,0.09,1.1309
19,19,20_FV,of,8,1,2.34429,3.04479,3.01729,3.07229,1,0.0847912,0.09,1.1309
20,20,24_Tongue_Th,the,9,1,2.40407,3.12408,3.09658,3.15158,0.42,0.0840845,0.09,1.1309
21,21,06_Eh,the,9,1,2.4743,3.21959,3.18917,3.25001,0.74,0.0595939,0.09,1.1309
22,22,06_Eh,seven,10,1,2.61327,3.40161,3.35823,3.44498,0.74,0.0816109,0.09,1.1309
23,23,20_FV,seven,10,1,2.66806,3.47527,3.43809,3.51245,1,0.0752709,0.09,1.1309
24,24,06_Eh,seven,10,1,2.68998,3.5059,3.42535,3.58646,0.74,0.0659053,0.09,1.1309
25,25,12_Ww-Oo-,wonders,11,1,2.84339,3.69273,3.64316,3.7423,1,0.0527303,0.09,1.1309
26,26,06_Eh,wonders,11,1,2.96393,3.82905,3.7485,3.9096,0.74,0.0690501,0.09,1.1309
27,27,09_Oh,of,12,1,3.16567,4.05719,4.02846,4.08591,0.82,0.0571883,0.09,1.1309
28,28,20_FV,of,12,1,3.19107,4.08591,4.05841,4.11341,1,0.0859163,0.09,1.1309
29,29,24_Tongue_Th,the,13,1,3.25084,4.15351,4.12601,4.18101,0.42,0.073513,0.09,1.1309
30,30,06_Eh,the,13,1,3.32107,4.23294,4.20252,4.26335,0.74,0.0729384,0.09,1.1309
31,31,07_Aa,ancient,14,1,3.39977,4.32194,4.27856,4.36531,0.86,0.0819407,0.09,1.1309
32,32,03_Ee,ancient,14,1,3.53675,4.46194,4.38139,4.54249,0.86,-0.644937,0.15,1.1309
33,33,12_Ww-Oo-,world,15,1,3.68087,4.63983,4.60228,4.67738,1,-0.467046,0.15,1.1309
34,34,09_Oh,world,15,1,3.77219,4.7431,4.68208,4.80413,0.82,-0.363774,0.15,1.1309
