word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,maybe,0.000000,0.360000,0,-1,-1
1,you,0.360000,0.630000,0,-1,-1
2,meant,0.630000,1.140000,0,-1,-1
3,buddhism,1.140000,1.660000,0,-1,-1
4,it's,2.180000,2.350000,1,-1,-1
5,a,2.350000,2.410000,1,-1,-1
6,religion,2.410000,2.930000,1,-1,-1
7,with,2.930000,3.090000,1,-1,-1
8,millions,3.090000,3.620000,1,-1,-1
9,of,3.620000,3.740000,1,-1,-1
10,followers,3.740000,4.350000,1,-1,-1
11,worldwide,4.350000,5.190000,1,-1,-1
