EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,07_Aa,AAA,istanbul,0,0,0.00954401,0.0591729,0.115005,0.94,SimpleBudgetV1
1,14_ChJjSh,FVS,istanbul,0,0,0.0820785,0.124072,0.345014,0.762,SimpleBudgetV1
2,07_Aa,AAA,istanbul,0,0,0.0610817,0.160339,0.370571,0.86,SimpleBudgetV1
3,22_MBP,MBP,istanbul,0,0,0.108324,0.154136,0.439254,1,SimpleBudgetV1
4,18_Uh,AAA,istanbul,0,0,0.124549,0.185631,0.519119,0.72,SimpleBudgetV1
5,07_Aa,AAA,has,1,0,0.222185,0.248144,0.787144,0.86,SimpleBudgetV1
6,24_Tongue_Th,FVS,the,2,0,0.27105,0.28632,0.932816,0.42,SimpleBudgetV1
7,06_Eh,EEE,the,2,0,0.300827,0.328314,1.05293,0.74,SimpleBudgetV1
8,12_Ww-Oo-,WUH,world's,3,0,0.341463,0.375398,1.19974,1,SimpleBudgetV1
9,09_Oh,OOO,world's,3,0,0.377519,0.432662,1.35592,0.82,SimpleBudgetV1
10,07_Aa,AAA,largest,4,0,0.460027,0.499221,1.6054,0.94,SimpleBudgetV1
11,07_Aa,AAA,largest,4,0,0.494422,0.567211,1.77675,0.94,SimpleBudgetV1
12,07_Aa,AAA,square,5,0,0.623542,0.678685,2.17941,0.94,SimpleBudgetV1
13,07_Aa,AAA,taksim,6,1,0.769374,0.808568,2.64085,0.86,SimpleBudgetV1
14,07_Aa,AAA,taksim,6,1,0.79877,0.871559,2.79547,0.86,SimpleBudgetV1
15,04_Ih,EEE,taksim,6,1,0.836564,0.881357,2.87512,0.72,SimpleBudgetV1
16,22_MBP,MBP,taksim,6,1,0.865493,0.899088,2.95321,1,SimpleBudgetV1
17,07_Aa,AAA,square,7,1,0.92789,0.983033,3.19813,0.86,SimpleBudgetV1
