word_index,word,start,end,phrase_index,sentence_index
0,red,0.040000,0.540000,0,0
1,orange,0.710000,1.330000,1,0
2,yellow,1.360000,1.890000,2,0
3,green,1.890000,2.430000,3,0
4,blue,2.430000,2.860000,4,0
5,indigo,2.910000,3.490000,5,0
6,violet,3.520000,4.080000,6,0
7,though,4.330000,4.500000,7,1
8,we,4.500000,4.640000,7,1
9,don't,4.640000,4.880000,7,1
10,have,4.880000,5.120000,7,1
11,rain,5.120000,5.410000,7,1
12,here,5.410000,5.630000,7,1
13,in,5.630000,5.710000,7,1
14,the,5.710000,5.770000,7,1
15,bodega,5.770000,6.390000,7,1
