index,start,end,word_start_index,word_end_index,source
0,0.320000,0.810000,0,0,mfa_word_aligned_pause_regions
1,1.070000,1.690000,1,1,mfa_word_aligned_pause_regions
2,2.060000,2.680000,2,2,mfa_word_aligned_pause_regions
3,3.150000,3.710000,3,3,mfa_word_aligned_pause_regions
4,4.170000,4.630000,4,4,mfa_word_aligned_pause_regions
5,4.980000,5.580000,5,5,mfa_word_aligned_pause_regions
6,5.780000,6.230000,6,6,mfa_word_aligned_pause_regions
7,6.700000,7.760000,7,11,mfa_word_aligned_pause_regions
8,8.030000,9.410000,12,15,mfa_word_aligned_pause_regions
9,10.040000,10.670000,16,16,mfa_word_aligned_pause_regions
