ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,05_Ay,i,0,0,0.0856514,0.576708,0.54,0.613415,0.84,0.0567078,0.09,1
1,1,20_FV,found,1,0,0.17844,0.669497,0.641997,0.696997,1,0.0694968,0.09,1
2,2,09_Oh,found,1,0,0.276158,0.767214,0.711982,0.822446,0.82,0.087214,0.09,1
3,3,07_Aa,a,2,0,0.454088,0.945145,0.917645,0.972645,0.86,0.0651444,0.09,1
4,4,22_MBP,spider,3,0,0.588428,1.07948,1.04584,1.11313,1,0.0794846,0.09,1
5,5,04_Ih,spider,3,0,0.635163,1.12622,1.08696,1.16548,0.68,0.086219,0.09,1
6,6,06_Eh,spider,3,0,0.680962,1.17202,1.09911,1.24492,0.74,0.0520185,0.09,1
7,7,04_Ih,in,4,0,0.887443,1.3785,1.351,1.406,0.22,0.0584997,0.09,1
8,8,24_Tongue_Th,the,5,0,0.974624,1.46568,1.43818,1.49318,0.42,0.0656806,0.09,1
9,9,06_Eh,the,5,0,1.04651,1.53757,1.51004,1.5651,0.74,0.0575668,0.09,1
10,10,18_Uh,sugar,6,0,1.18875,1.67981,1.64055,1.71907,0.68,0.0798093,0.09,1
11,11,07_Aa,sugar,6,0,1.26727,1.70729,1.64631,1.76827,0.86,0.0672891,0.09,0.836413
12,12,11_Oo,guess,7,1,1.92508,2.38121,2.32,2.44241,0.94,0.0612078,0.09,1.10819
13,13,12_Ww-Oo-,who's,8,1,2.04404,2.51304,2.47537,2.5507,1,0.0730379,0.09,1.10819
14,14,09_Oh,who's,8,1,2.13751,2.61662,2.55541,2.67782,0.82,0.0566187,0.09,1.10819
15,15,06_Eh,getting,9,1,2.28682,2.78208,2.73857,2.82558,0.74,0.0620792,0.09,1.10819
16,16,06_Eh,getting,9,1,2.38937,2.89572,2.81493,2.97651,0.74,0.0557222,0.09,1.10819
17,17,07_Aa,a,10,1,2.59585,3.12454,3.09573,3.15335,0.86,0.0845418,0.09,1.10819
18,18,20_FV,free,11,1,2.68558,3.22398,3.19573,3.25223,1,0.0639794,0.09,1.10819
19,19,03_Ee,free,11,1,2.78329,3.33227,3.27106,3.39347,0.86,0.0522683,0.09,1.10819
20,20,22_MBP,bag,12,1,2.89376,3.45468,3.42643,3.48293,1,0.0546823,0.09,1.10819
21,21,07_Aa,bag,12,1,2.99572,3.56768,3.50647,3.62888,0.86,-0.819198,0.15,1.10819
22,22,09_Oh,of,13,1,3.17365,3.76486,3.73604,3.79367,0.82,-0.622017,0.15,1.10819
23,23,20_FV,of,13,1,3.19966,3.79367,3.76617,3.82117,1,-0.593203,0.15,1.10819
24,24,14_ChJjSh,chips,14,1,3.26338,3.8643,3.83605,3.89254,0.655189,-0.52258,0.15,1.10819
25,25,04_Ih,chips,14,1,3.3611,3.97258,3.91138,4.03379,0.22,-0.414291,0.15,1.10819
26,26,22_MBP,chips,14,1,3.38659,4.00083,3.97258,4.02908,1,-0.386042,0.15,1.10819
27,27,11_Oo,today,15,1,3.54566,4.17711,4.1305,4.22372,0.94,-0.209766,0.15,1.10819
28,28,05_Ay,today,15,1,3.66904,4.31384,4.24858,4.37909,0.84,-0.0730391,0.15,1.10819
