Metric,Value
CaseId,case_000020
Transcript,I found a spider in the sugar. Guess who's getting a free bag of chips today?
PlannedEventCount,29
CommittedEventCount,29
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.6698
EstimatedTextDurationSec,3.43073
AudioDurationSec,4.13688
EffectiveSegmentScaleMax,1.10819
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0776161
MaxVisiblePoseGapSec,0.533333
VisiblePoseGapCountOver250ms,1
