Metric,Value
CaseId,case_000139
Transcript,"Cameroon is known for Mount Cameroon, the highest peak in West Africa."
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.7366
EstimatedTextDurationSec,2.78243
AudioDurationSec,3.97688
EffectiveSegmentScaleMax,1.06094
ScaleCapHitCount,0
CommitLeadMeanSec,0.0742701
MaxVisiblePoseGapSec,0.193336
VisiblePoseGapCountOver250ms,0
