word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,estonia,0.310000,0.930000,0,-1,-1
1,has,0.930000,1.150000,0,-1,-1
2,beautiful,1.150000,1.660000,0,-1,-1
3,nature,1.660000,2.260000,0,-1,-1
4,and,2.310000,2.430000,0,-1,-1
5,a,2.430000,2.480000,0,-1,-1
6,rich,2.480000,2.820000,0,-1,-1
7,history,2.820000,3.450000,0,-1,-1
8,want,4.140000,4.300000,1,-1,-1
9,to,4.300000,4.370000,1,-1,-1
10,try,4.370000,4.620000,1,-1,-1
11,a,4.620000,4.700000,1,-1,-1
12,sandwich,4.700000,5.350000,1,-1,-1
