word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,let's,1,see,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,see,2,it's,",",",",soft_pause,0,none,0.030000,0.030000,0.000000,0.030000,0,0
2,it's,3,lettuce,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,lettuce,4,tomato,",",",",region_break,1,comma_with_lull,0.350000,0.350000,0.350000,0.350000,0,1
4,tomato,5,cucumber,",",",",soft_pause,0,none,0.050000,0.050000,0.050000,0.050000,1,1
5,cucumber,6,and,",",",",region_break,1,comma_with_lull,0.150000,0.150000,0.150000,0.150000,1,2
6,and,7,avocado,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
7,avocado,8,on,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
8,on,9,whole,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
9,whole,10,wheat,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
10,wheat,11,yum,.,.,region_break,1,hard_punctuation_with_lull,0.400000,0.400000,0.400000,0.400000,2,3
