Metric,Value
CaseId,case_000264
Transcript,Wuhan's a bustling city with lots of history and delicious food. Enjoy learning about it!
PlannedEventCount,38
CommittedEventCount,38
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.77815
EstimatedTextDurationSec,3.91882
AudioDurationSec,5.25688
EffectiveSegmentScaleMax,1.26377
ScaleCapHitCount,0
CommitLeadMeanSec,0.0704352
MaxVisiblePoseGapSec,0.2
VisiblePoseGapCountOver250ms,0
