word_index,word,start,end,speech_region_index,sentence_index
0,walk,0.380000,0.700000,0,-1
1,past,0.700000,1.010000,0,-1
2,the,1.010000,1.070000,0,-1
3,bakery,1.070000,1.640000,0,-1
4,cross,2.090000,2.420000,1,-1
5,at,2.420000,2.510000,1,-1
6,the,2.510000,2.610000,1,-1
7,light,2.610000,2.960000,1,-1
8,and,3.300000,3.430000,2,-1
9,take,3.430000,3.610000,2,-1
10,the,3.610000,3.680000,2,-1
11,second,3.680000,4.020000,2,-1
12,street,4.020000,4.330000,2,-1
13,on,4.330000,4.480000,2,-1
14,your,4.480000,4.590000,2,-1
15,right,4.590000,4.900000,2,-1
