word_index,word,start,end,speech_region_index,sentence_index
0,if,0.810000,0.970000,0,-1
1,you,0.970000,1.080000,0,-1
2,smell,1.080000,1.420000,0,-1
3,smoke,1.420000,1.970000,0,-1
4,leave,2.520000,2.840000,1,-1
5,the,2.840000,2.930000,1,-1
6,building,2.930000,3.400000,1,-1
7,and,3.400000,3.570000,1,-1
8,call,3.570000,3.800000,1,-1
9,for,3.800000,3.950000,1,-1
10,help,3.950000,4.250000,1,-1
11,from,4.250000,4.440000,1,-1
12,a,4.440000,4.490000,1,-1
13,safe,4.490000,4.840000,1,-1
14,place,4.840000,5.350000,1,-1
