Metric,Value
CaseId,case_000045
Transcript,We don't run out of money here. Everything is priced fairly. What can I get for you?
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.27045
EstimatedTextDurationSec,4.13359
AudioDurationSec,5.17688
EffectiveSegmentScaleMax,1.18748
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0600587
MaxVisiblePoseGapSec,0.416666
VisiblePoseGapCountOver250ms,1
