Metric,Value
CaseId,case_000154
Transcript,"Egypt is home to the oldest library in the world, the Library of Alexandria."
PlannedEventCount,34
CommittedEventCount,34
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.77699
EstimatedTextDurationSec,3.29438
AudioDurationSec,4.37687
EffectiveSegmentScaleMax,1.17065
ScaleCapHitCount,0
CommitLeadMeanSec,0.0160903
MaxVisiblePoseGapSec,0.1
VisiblePoseGapCountOver250ms,0
