word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,we,0.340000,0.470000,0,-1,-1
1,don't,0.470000,0.740000,0,-1,-1
2,have,0.740000,0.980000,0,-1,-1
3,muffins,0.980000,1.440000,0,-1,-1
4,but,1.440000,1.580000,0,-1,-1
5,i,1.580000,1.690000,0,-1,-1
6,can,1.690000,1.850000,0,-1,-1
7,order,1.910000,2.240000,0,-1,-1
8,some,2.240000,2.520000,0,-1,-1
9,in,2.560000,2.740000,0,-1,-1
10,if,2.740000,2.890000,0,-1,-1
11,you,2.890000,3.000000,0,-1,-1
12,want,3.000000,3.410000,0,-1,-1
