Metric,Value
CaseId,case_000172
Transcript,"Croatia has the Plitvice Lakes, a stunning national park with natural turquoise lakes connected by waterfalls."
PlannedEventCount,43
CommittedEventCount,43
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.99747
EstimatedTextDurationSec,9.2169
AudioDurationSec,6.05688
EffectiveSegmentScaleMax,1.42
ScaleCapHitCount,0
CommitLeadMeanSec,0.411031
MaxVisiblePoseGapSec,0.666666
VisiblePoseGapCountOver250ms,2
