index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,07_Aa,antigua,0,0,0,0.010823,0.500000,AE,0,cmu_open_vowel
1,03_Ee,antigua,0,0,0,0.075758,0.920000,IY,3,cmu_front_vowel
2,12_Ww-Oo-,antigua,0,0,0,0.119048,0.880000,W,5,cmu_w
3,07_Aa,has,1,0,0,0.181818,0.920000,AE,1,cmu_open_vowel
4,07_Aa,some,2,0,0,0.242424,0.920000,AH,1,cmu_open_vowel
5,22_MBP,some,2,0,0,0.262626,1.000000,M,2,cmu_bilabial
6,07_Aa,of,3,0,0,0.287879,0.920000,AH,0,cmu_open_vowel
7,20_FV,of,3,0,0,0.318182,0.960000,V,1,cmu_fv
8,07_Aa,the,4,0,0,0.378788,0.500000,AH,1,cmu_open_vowel
9,22_MBP,most,5,0,0,0.401515,1.000000,M,0,cmu_bilabial
10,09_Oh,most,5,0,0,0.416667,0.920000,OW,1,cmu_oh_vowel
11,22_MBP,beautiful,6,0,0,0.464015,1.000000,B,0,cmu_bilabial
12,11_Oo,beautiful,6,0,0,0.501894,0.920000,UW,2,cmu_oo_vowel
13,20_FV,beautiful,6,0,0,0.558712,0.960000,F,5,cmu_fv
14,22_MBP,beaches,7,0,0,0.615151,1.000000,B,0,cmu_bilabial
15,03_Ee,beaches,7,0,0,0.633333,0.920000,IY,1,cmu_front_vowel
16,14_ChJjSh,beaches,7,0,0,0.651515,0.820000,CH,2,cmu_affricate_sibilant
17,03_Ee,in,8,0,0,0.712121,0.500000,IH,0,cmu_front_vowel
18,07_Aa,the,9,0,0,0.803030,0.500000,AH,1,cmu_open_vowel
19,03_Ee,caribbean,10,0,0,0.883117,0.920000,IH,2,cmu_front_vowel
20,22_MBP,caribbean,10,0,0,0.909091,1.000000,B,3,cmu_bilabial
21,03_Ee,caribbean,10,0,0,0.935065,0.500000,IY,4,cmu_front_vowel
