Metric,Value
CaseId,case_000082
Transcript,"With the bodega's profits, I manage. Marriage adds another mouth to feed."
PlannedEventCount,32
CommittedEventCount,32
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.4234
EstimatedTextDurationSec,3.22296
AudioDurationSec,5.01687
EffectiveSegmentScaleMax,1.3627
ScaleCapHitCount,0
CommitLeadMeanSec,0.071311
MaxVisiblePoseGapSec,0.346663
VisiblePoseGapCountOver250ms,1
