Metric,Value
CaseId,case_000254
Transcript,Paris has the most visited art museum in the world! Enjoy your trip!
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.5538
EstimatedTextDurationSec,2.88152
AudioDurationSec,4.29688
EffectiveSegmentScaleMax,1.16983
ScaleCapHitCount,0
CommitLeadMeanSec,0.0269667
MaxVisiblePoseGapSec,0.0999999
VisiblePoseGapCountOver250ms,0
