word_index,word,start,end,speech_region_index,sentence_index
0,some,0.530000,0.800000,0,-1
1,people,0.800000,1.090000,0,-1
2,prefer,1.090000,1.470000,0,-1
3,an,1.470000,1.590000,0,-1
4,early,1.620000,1.880000,0,-1
5,start,1.880000,2.380000,0,-1
6,others,2.810000,3.150000,1,-1
7,do,3.150000,3.300000,1,-1
8,their,3.300000,3.450000,1,-1
9,best,3.450000,3.780000,1,-1
10,work,3.780000,4.050000,1,-1
11,late,4.050000,4.270000,1,-1
12,at,4.270000,4.390000,1,-1
13,night,4.390000,4.800000,1,-1
