word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,grenada,0.340000,0.960000,0,-1,-1
1,has,0.960000,1.180000,0,-1,-1
2,beautiful,1.180000,1.750000,0,-1,-1
3,beaches,1.750000,2.380000,0,-1,-1
4,and,2.460000,2.600000,0,-1,-1
5,spicy,2.600000,3.090000,0,-1,-1
6,cuisine,3.090000,3.630000,0,-1,-1
7,want,4.580000,4.830000,1,-1,-1
8,a,4.830000,4.880000,1,-1,-1
9,sandwich,4.880000,5.350000,1,-1,-1
10,to,5.350000,5.450000,1,-1,-1
11,go,5.450000,5.630000,1,-1,-1
12,with,5.630000,5.830000,1,-1,-1
13,that,5.830000,6.150000,1,-1,-1
