Metric,Value
CaseId,case_000148
Transcript,It's a long-standing conflict over who should control the territory.
PlannedEventCount,26
CommittedEventCount,26
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.40112
EstimatedTextDurationSec,2.36867
AudioDurationSec,3.41687
EffectiveSegmentScaleMax,1.21309
ScaleCapHitCount,0
CommitLeadMeanSec,-0.00955257
MaxVisiblePoseGapSec,0.0999999
VisiblePoseGapCountOver250ms,0
