ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,16_Ww-Ew-,new,0,0,0.10759,0.19823,0.15,0.24646,1,0.0782299,0.09,1
1,1,09_Oh,york,1,0,0.293089,0.38373,0.3355,0.431959,0.82,0.0637296,0.09,1
2,2,07_Aa,has,2,0,0.448464,0.539104,0.511604,0.566604,0.86,0.0591041,0.09,1
3,3,24_Tongue_Th,the,3,0,0.524593,0.615233,0.587733,0.642733,0.42,0.0552332,0.09,1
4,4,06_Eh,the,3,0,0.587366,0.678006,0.650506,0.705506,0.74,0.0780061,0.09,1
5,5,07_Aa,statue,4,0,0.71541,0.80605,0.77855,0.83355,0.86,0.0860503,0.09,1
6,6,11_Oo,statue,4,0,0.745709,0.836349,0.788119,0.884579,0.94,0.0763486,0.09,1
7,7,11_Oo,statue,4,0,0.792702,0.883342,0.853662,0.913022,0.94,0.0833418,0.09,1
8,8,09_Oh,of,5,0,0.901083,0.991723,0.964223,1.01922,0.82,0.0717229,0.09,1
9,9,20_FV,of,5,0,0.923788,1.01443,0.986928,1.04193,1,0.0544281,0.09,1
10,10,03_Ee,liberty,6,0,1.01194,1.10258,1.06303,1.14213,0.86,0.0625776,0.09,1
11,11,22_MBP,liberty,6,0,1.06583,1.15647,1.11996,1.19297,1,0.0764679,0.09,1
12,12,24_Tongue_Th,liberty,6,0,1.11537,1.20601,1.17255,1.23948,0.42,0.0860122,0.09,1
13,13,03_Ee,liberty,6,0,1.13363,1.28927,1.20177,1.37677,0.86,0.051452,0.09,1.11978
14,14,03_Ee,liberty,6,0,1.23706,1.42927,1.37127,1.48726,0.86,0.0692656,0.09,1.19154
15,15,07_Aa,a,7,1,1.74089,1.75229,1.72479,1.77979,0.86,0.072293,0.09,1
16,16,03_Ee,symbol,8,1,1.8582,2.0096,1.97532,2.04388,0.86,0.0896033,0.09,1
17,17,22_MBP,symbol,8,1,1.89901,2.11541,2.08603,2.1448,1,0.0754132,0.09,1
18,18,09_Oh,symbol,8,1,1.939,2.22041,2.15582,2.28499,0.82,0.0609851,0.09,1.01446
19,19,09_Oh,of,9,1,2.11931,2.41733,2.38983,2.44482,0.82,0.0573261,0.09,1.04039
20,20,20_FV,of,9,1,2.14201,2.44095,2.41345,2.46845,1,0.0809484,0.09,1.04039
21,21,20_FV,freedom,10,1,2.20478,2.5113,2.48043,2.54218,1,0.0713031,0.09,1.05076
22,22,03_Ee,freedom,10,1,2.31742,2.6513,2.57783,2.72478,0.86,0.0513034,0.09,1.15411
23,23,09_Oh,freedom,10,1,2.36779,2.74972,2.7045,2.79493,0.82,0.06972,0.09,1.15411
24,24,22_MBP,freedom,10,1,2.39577,2.78202,2.75376,2.81027,1,0.0620167,0.09,1.15411
