word_index,word,start,end,speech_region_index,sentence_index
0,although,0.310000,0.630000,0,-1
1,the,0.630000,0.740000,0,-1
2,sky,0.740000,1.070000,0,-1
3,looked,1.070000,1.400000,0,-1
4,dark,1.400000,1.840000,0,-1
5,we,2.140000,2.290000,1,-1
6,packed,2.290000,2.700000,1,-1
7,a,2.700000,2.770000,1,-1
8,lunch,2.770000,3.190000,1,-1
9,and,3.240000,3.400000,1,-1
10,continued,3.400000,3.980000,1,-1
11,toward,3.980000,4.320000,1,-1
12,the,4.320000,4.430000,1,-1
13,lake,4.430000,4.830000,1,-1
