word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,ecuador,0.140000,0.870000,0,-1,-1
1,has,0.870000,1.050000,0,-1,-1
2,stunning,1.050000,1.660000,0,-1,-1
3,andes,1.660000,2.130000,0,-1,-1
4,mountains,2.130000,2.730000,0,-1,-1
5,and,2.730000,2.880000,0,-1,-1
6,vibrant,2.880000,3.410000,0,-1,-1
7,culture,3.410000,3.940000,0,-1,-1
8,want,4.310000,4.540000,1,-1,-1
9,to,4.540000,4.600000,1,-1,-1
10,try,4.600000,4.880000,1,-1,-1
11,some,4.880000,5.100000,1,-1,-1
12,chips,5.100000,5.750000,1,-1,-1
