word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,check,0.280000,0.510000,0,-1,-1
1,the,0.510000,0.610000,0,-1,-1
2,door,0.610000,1.120000,0,-1,-1
3,grab,1.350000,1.650000,1,-1,-1
4,your,1.650000,1.740000,1,-1,-1
5,bag,1.740000,2.270000,1,-1,-1
6,wave,2.710000,3.090000,2,-1,-1
7,goodbye,3.090000,3.580000,2,-1,-1
8,step,3.580000,3.980000,2,-1,-1
9,outside,3.980000,4.550000,2,-1,-1
10,and,4.550000,4.690000,2,-1,-1
11,lock,4.690000,4.940000,2,-1,-1
12,up,4.940000,5.190000,2,-1,-1
