Metric,Value
CaseId,case_000239
Transcript,Moscow has the Red Square and St. Basil's Cathedral. Beautiful places.
PlannedEventCount,24
CommittedEventCount,24
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,7.40041
EstimatedTextDurationSec,4.87305
AudioDurationSec,4.61688
EffectiveSegmentScaleMax,1.13217
ScaleCapHitCount,0
CommitLeadMeanSec,0.0442066
MaxVisiblePoseGapSec,0.366666
VisiblePoseGapCountOver250ms,2
