word_index,word,start,end,speech_region_index,sentence_index
0,visit,0.370000,0.670000,0,-1
1,the,0.670000,0.760000,0,-1
2,library,0.760000,1.400000,0,-1
3,the,1.450000,1.540000,0,-1
4,market,1.540000,2.030000,0,-1
5,the,2.100000,2.180000,0,-1
6,post,2.180000,2.530000,0,-1
7,office,2.530000,3.030000,0,-1
8,the,3.080000,3.160000,0,-1
9,bank,3.160000,3.620000,0,-1
10,the,3.710000,3.790000,0,-1
11,park,3.790000,4.260000,0,-1
12,and,4.590000,4.710000,1,-1
13,the,4.710000,4.800000,1,-1
14,old,4.800000,5.080000,1,-1
15,stone,5.080000,5.410000,1,-1
16,church,5.410000,5.920000,1,-1
