Metric,Value
CaseId,case_000266
Transcript,Alexandria's got ancient ruins and beautiful beaches. Enjoy your trip!
PlannedEventCount,24
CommittedEventCount,24
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.7429
EstimatedTextDurationSec,4.7628
AudioDurationSec,4.53687
EffectiveSegmentScaleMax,1.23527
ScaleCapHitCount,0
CommitLeadMeanSec,0.0398523
MaxVisiblePoseGapSec,0.233333
VisiblePoseGapCountOver250ms,0
