Metric,Value
CaseId,case_000198
Transcript,"Pakistan is home to the highest peak in South Asia, Mount Everest."
PlannedEventCount,26
CommittedEventCount,26
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.66548
EstimatedTextDurationSec,2.66209
AudioDurationSec,3.97688
EffectiveSegmentScaleMax,1.24628
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0847722
MaxVisiblePoseGapSec,0.166667
VisiblePoseGapCountOver250ms,0
