Metric,Value
CaseId,case_000275
Transcript,Nunjing's old town and the Baoguo Temple are must-sees. Enjoy your visit!
PlannedEventCount,25
CommittedEventCount,25
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.04
PeakTimingMAEMs,9.97502
EstimatedTextDurationSec,2.9657
AudioDurationSec,4.13688
EffectiveSegmentScaleMax,1.21557
ScaleCapHitCount,0
CommitLeadMeanSec,0.0715148
MaxVisiblePoseGapSec,0.383336
VisiblePoseGapCountOver250ms,1
