Metric,Value
CaseId,case_000253
Transcript,Rio de Janeiro has the biggest carnival in the world! Enjoy the festivities!
PlannedEventCount,29
CommittedEventCount,29
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.78761
EstimatedTextDurationSec,3.16765
AudioDurationSec,4.69688
EffectiveSegmentScaleMax,1.29098
ScaleCapHitCount,0
CommitLeadMeanSec,0.0427667
MaxVisiblePoseGapSec,0.279998
VisiblePoseGapCountOver250ms,1
