word_index,word,start,end,speech_region_index,sentence_index
0,it,0.380000,0.510000,0,-1
1,takes,0.510000,0.840000,0,-1
2,text,0.840000,1.300000,0,-1
3,and,1.360000,1.580000,0,-1
4,turns,1.580000,1.960000,0,-1
5,it,1.960000,2.080000,0,-1
6,into,2.080000,2.390000,0,-1
7,an,2.390000,2.510000,0,-1
8,animation,2.570000,3.150000,0,-1
9,plan,3.150000,3.640000,0,-1
10,then,3.910000,4.280000,1,-1
11,matches,4.280000,4.720000,1,-1
12,it,4.720000,4.910000,1,-1
13,with,4.910000,5.100000,1,-1
14,the,5.100000,5.250000,1,-1
15,audio,5.290000,5.860000,1,-1
