index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,20_FV,visit,0,0,0,0.015000,0.960000,V,0,cmu_fv
1,03_Ee,visit,0,0,0,0.037500,0.920000,IH,1,cmu_front_vowel
2,22_MBP,petra,1,0,0,0.137500,1.000000,P,0,cmu_bilabial
3,06_Eh,petra,1,0,0,0.162500,0.920000,EH,1,cmu_eh_vowel
4,09_Oh,or,2,0,0,0.270833,0.920000,AO,0,cmu_oh_vowel
5,09_Oh,soak,3,0,0,0.375000,0.920000,OW,1,cmu_oh_vowel
6,03_Ee,in,4,0,0,0.437500,0.500000,IH,0,cmu_front_vowel
7,06_Eh,dead,5,0,0,0.541667,0.920000,EH,1,cmu_eh_vowel
8,03_Ee,sea,6,0,0,0.645833,0.920000,IY,1,cmu_front_vowel
9,12_Ww-Oo-,want,7,1,1,0.677083,0.880000,W,0,cmu_w
10,07_Aa,want,7,1,1,0.697917,0.920000,AA,1,cmu_open_vowel
11,07_Aa,a,8,1,1,0.791667,0.500000,AH,0,cmu_open_vowel
12,07_Aa,sandwich,9,1,1,0.869048,0.920000,AE,1,cmu_open_vowel
13,12_Ww-Oo-,sandwich,9,1,1,0.940476,0.880000,W,4,cmu_w
14,14_ChJjSh,sandwich,9,1,1,0.987381,0.820000,CH,6,cmu_affricate_sibilant
