word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,we've,0.000000,0.340000,0,-1,-1
1,got,0.340000,0.620000,0,-1,-1
2,sandwiches,0.620000,1.290000,0,-1,-1
3,for,1.290000,1.450000,0,-1,-1
4,five,1.450000,1.910000,0,-1,-1
5,dollars,1.910000,2.320000,0,-1,-1
6,and,2.320000,2.440000,0,-1,-1
7,chips,2.440000,2.750000,0,-1,-1
8,for,2.750000,2.900000,0,-1,-1
9,two,2.900000,3.250000,0,-1,-1
10,what'll,3.560000,3.910000,1,-1,-1
11,it,3.910000,4.010000,1,-1,-1
12,be,4.010000,4.310000,1,-1,-1
