Metric,Value
CaseId,case_000142
Transcript,"Burkina Faso is known for its vibrant traditional arts and crafts, especially textiles and masks."
PlannedEventCount,36
CommittedEventCount,36
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.2532
EstimatedTextDurationSec,7.80375
AudioDurationSec,5.73688
EffectiveSegmentScaleMax,1.38
ScaleCapHitCount,0
CommitLeadMeanSec,0.519189
MaxVisiblePoseGapSec,0.416666
VisiblePoseGapCountOver250ms,3
