Metric,Value
CaseId,case_000276
Transcript,Santiago's got stunning mountains and a lively culture. Enjoy your visit!
PlannedEventCount,29
CommittedEventCount,29
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.50652
EstimatedTextDurationSec,5.21986
AudioDurationSec,4.05688
EffectiveSegmentScaleMax,1.29731
ScaleCapHitCount,0
CommitLeadMeanSec,0.045483
MaxVisiblePoseGapSec,0.583333
VisiblePoseGapCountOver250ms,1
