word_index,word,start,end,speech_region_index,sentence_index
0,muffins,0.420000,1.030000,0,-1
1,are,1.030000,1.120000,0,-1
2,good,1.120000,1.650000,0,-1
3,we,1.650000,1.880000,0,-1
4,don't,1.880000,2.050000,0,-1
5,have,2.050000,2.370000,0,-1
6,them,2.370000,2.590000,0,-1
7,but,2.590000,2.700000,0,-1
8,i,2.700000,2.810000,0,-1
9,can,2.810000,2.960000,0,-1
10,order,2.960000,3.210000,0,-1
11,some,3.210000,3.460000,0,-1
12,in,3.460000,3.600000,0,-1
13,if,3.600000,3.740000,0,-1
14,you,3.740000,3.830000,0,-1
15,want,3.830000,4.290000,0,-1
