EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,07_Aa,AAA,lagos,0,0,0.0125864,0.0346126,0.0874606,0.86,SimpleBudgetV1
1,07_Aa,AAA,lagos,0,0,0.0251728,0.0660787,0.169091,0.86,SimpleBudgetV1
2,09_Oh,OOO,lagos,0,0,0.0424791,0.067652,0.204075,0.82,SimpleBudgetV1
3,07_Aa,AAA,has,1,0,0.0962574,0.110846,0.383767,0.86,SimpleBudgetV1
4,22_MBP,MBP,markets,2,0,0.12,0.13888,0.479708,1,SimpleBudgetV1
5,07_Aa,AAA,markets,2,0,0.146746,0.187652,0.619645,0.86,SimpleBudgetV1
6,20_FV,FVS,full,3,0,0.200238,0.214541,0.768593,1,SimpleBudgetV1
7,18_Uh,AAA,full,3,0,0.219309,0.250298,0.870189,0.266965,SimpleBudgetV1
8,09_Oh,OOO,of,4,0,0.277425,0.292014,1.05518,0.82,SimpleBudgetV1
9,20_FV,FVS,of,4,0,0.286865,0.297163,1.08221,1,SimpleBudgetV1
10,06_Eh,EEE,life,5,0,0.321812,0.352801,1.25007,0.74,SimpleBudgetV1
11,20_FV,FVS,life,5,0,0.332837,0.347139,1.26001,1,SimpleBudgetV1
12,22_MBP,MBP,but,6,1,0.394255,0.404553,1.4802,1,SimpleBudgetV1
13,18_Uh,AAA,but,6,1,0.412706,0.427294,1.55653,0.22,SimpleBudgetV1
14,12_Ww-Oo-,WUH,watch,7,1,0.43683,0.4559,1.65424,1,SimpleBudgetV1
15,07_Aa,AAA,watch,7,1,0.457092,0.488081,1.75142,0.86,SimpleBudgetV1
16,14_ChJjSh,FVS,watch,7,1,0.473778,0.488081,1.78234,0.682,SimpleBudgetV1
17,09_Oh,OOO,out,8,1,0.516686,0.547676,1.97228,0.82,SimpleBudgetV1
18,20_FV,FVS,for,9,1,0.557211,0.567509,2.08413,1,SimpleBudgetV1
19,10_Or,OOO,for,9,1,0.574803,0.589392,2.15727,0.22,SimpleBudgetV1
20,24_Tongue_Th,FVS,the,10,1,0.601555,0.611555,2.24792,0.42,SimpleBudgetV1
21,06_Eh,EEE,the,10,1,0.618999,0.634446,2.32265,0.74,SimpleBudgetV1
22,03_Ee,EEE,heat,11,1,0.662098,0.693087,2.51118,0.86,SimpleBudgetV1
23,06_Eh,EEE,enjoy,12,2,0.732253,0.754279,2.75457,0.74,SimpleBudgetV1
24,03_Ee,EEE,enjoy,12,2,0.760572,0.801478,2.89451,0.86,SimpleBudgetV1
25,10_Or,OOO,your,13,2,0.831347,0.868296,3.14947,0.505847,SimpleBudgetV1
26,06_Eh,EEE,exploration,14,2,0.866079,0.901454,3.27527,0.74,SimpleBudgetV1
27,22_MBP,MBP,exploration,14,2,0.887212,0.917534,3.34422,1,SimpleBudgetV1
28,24_Tongue_Th,FVS,exploration,14,2,0.925459,0.953254,3.48129,0.42,SimpleBudgetV1
29,07_Aa,AAA,exploration,14,2,0.914088,0.979785,3.50938,0.86,SimpleBudgetV1
30,07_Aa,AAA,exploration,14,2,0.958308,0.99621,3.62175,0.86,SimpleBudgetV1
