Metric,Value
CaseId,case_000246
Transcript,"Lagos has markets full of life, but watch out for the heat. Enjoy your exploration!"
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.5789
EstimatedTextDurationSec,3.70603
AudioDurationSec,5.41687
EffectiveSegmentScaleMax,1.20625
ScaleCapHitCount,0
CommitLeadMeanSec,0.0708232
MaxVisiblePoseGapSec,0.606663
VisiblePoseGapCountOver250ms,1
