Metric,Value
CaseId,case_000144
Transcript,"Martin is not a country, but a name. Perhaps you meant Martinique? It's known for its beautiful beaches and volcanic landscapes."
PlannedEventCount,41
CommittedEventCount,41
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,12.0142
EstimatedTextDurationSec,10.8058
AudioDurationSec,8.69687
EffectiveSegmentScaleMax,1.35
ScaleCapHitCount,0
CommitLeadMeanSec,0.264117
MaxVisiblePoseGapSec,0.983346
VisiblePoseGapCountOver250ms,5
