ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,07_Aa,got,0,0,0.0850316,0.426442,0.39,0.462884,0.86,0.106442,0.12,1
1,1,04_Ih,it,1,0,0.239911,0.645525,0.611049,0.68,0.517805,0.0855246,0.12,1.33558
2,2,22_MBP,spicy,2,1,0.803188,0.893405,0.86,0.926811,1,0.0934052,0.12,1
3,3,03_Ee,spicy,2,1,0.881134,0.971351,0.898973,1.04373,0.86,0.0913508,0.12,1
4,4,03_Ee,spicy,2,1,0.970214,1.06043,1.01589,1.10497,0.86,0.100432,0.12,1
5,5,04_Ih,it,3,1,1.08612,1.18899,1.16149,1.21649,0.417756,0.108989,0.12,1.03999
6,6,04_Ih,is,4,1,1.23796,1.39972,1.36997,1.42948,0.268891,0.119723,0.12,1.15281
7,7,24_Tongue_Th,then,5,1,1.32704,1.55271,1.52125,1.58417,0.42,0.112712,0.12,1.24307
8,8,06_Eh,then,5,1,1.42405,1.69271,1.6196,1.76582,0.74,0.0927124,0.12,1.33332
9,9,09_Oh,coming,6,2,1.99821,2.47117,2.42957,2.51277,0.82,-0.315707,0.15,1.06747
10,10,22_MBP,coming,6,2,2.04461,2.52069,2.48504,2.55635,1,-0.266181,0.15,1.06747
11,11,04_Ih,coming,6,2,2.09008,2.56923,2.49197,2.64649,0.22,-0.217644,0.15,1.06747
12,12,04_Ih,right,7,2,2.32931,2.82461,2.76608,2.88314,0.64,0.0377331,0.15,1.06747
13,13,18_Uh,up,8,2,2.54021,3.04973,2.9912,3.10826,0.22,0.262854,0.15,1.06747
14,14,22_MBP,up,8,2,2.57606,3.088,3.0605,3.1155,1,0.301124,0.15,1.06747
