Metric,Value
CaseId,case_000170
Transcript,Serbia is where the first-ever basketball game was played in Europe.
PlannedEventCount,26
CommittedEventCount,26
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,12.7356
EstimatedTextDurationSec,2.42168
AudioDurationSec,4.21688
EffectiveSegmentScaleMax,1.29183
ScaleCapHitCount,0
CommitLeadMeanSec,-0.209841
MaxVisiblePoseGapSec,0.0833333
VisiblePoseGapCountOver250ms,0
