ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,24_Tongue_Th,the,0,0,0.0187406,0.362494,0.334994,0.389994,0.42,0.122494,0.15,1
1,1,06_Eh,the,0,0,0.0774611,0.421214,0.393714,0.448714,0.74,0.141214,0.15,1
2,2,18_Uh,turkey,1,0,0.1822,0.525953,0.493886,0.558021,0.68,0.125953,0.15,1
3,3,03_Ee,turkey,1,0,0.257787,0.60154,0.541987,0.661094,0.86,0.121541,0.15,1
4,4,03_Ee,turkey,1,0,0.315814,0.659567,0.622919,0.696215,0.86,0.139567,0.15,1
5,5,07_Aa,and,2,0,0.426453,0.770206,0.742706,0.797706,0.86,0.130206,0.15,1
6,6,14_ChJjSh,cheese,3,0,0.499749,0.843503,0.816003,0.871002,0.717258,0.123502,0.15,1
7,7,03_Ee,cheese,3,0,0.57957,0.923324,0.878207,0.96844,0.86,0.123323,0.15,1
8,8,04_Ih,is,4,0,0.724914,1.06867,1.04117,1.09617,0.27455,0.148667,0.15,1
9,9,07_Aa,always,5,0,0.814036,1.15779,1.12572,1.18986,0.86,0.117789,0.15,1
10,10,05_Ay,always,5,0,0.910238,1.25739,1.19761,1.31717,0.84,0.137389,0.15,1.00376
11,11,07_Aa,a,6,0,1.0789,1.55833,1.53083,1.58583,0.86,0.118327,0.15,1.12648
12,12,04_Ih,hit,7,0,1.23202,1.66697,1.6185,1.71544,0.622823,-0.559903,0.15,1.0744
