Metric,Value
CaseId,case_000031
Transcript,"I'm more focused on the stars in my bodega, if you know what I mean."
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,12.5148
EstimatedTextDurationSec,2.95446
AudioDurationSec,3.41687
EffectiveSegmentScaleMax,1.2807
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0229503
MaxVisiblePoseGapSec,0.0666666
VisiblePoseGapCountOver250ms,0
