Metric,Value
CaseId,case_000158
Transcript,"Portugal has the oldest operating bookstore in the world, Bertrand."
PlannedEventCount,27
CommittedEventCount,27
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.0667
EstimatedTextDurationSec,4.63466
AudioDurationSec,4.45687
EffectiveSegmentScaleMax,1.32089
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0244696
MaxVisiblePoseGapSec,0.333333
VisiblePoseGapCountOver250ms,1
