word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,ever,0.240000,0.520000,0,-1,-1
1,notice,0.520000,0.920000,0,-1,-1
2,how,0.920000,1.070000,0,-1,-1
3,the,1.070000,1.160000,0,-1,-1
4,chips,1.160000,1.580000,0,-1,-1
5,get,1.580000,1.790000,0,-1,-1
6,the,1.790000,1.860000,0,-1,-1
7,best,1.860000,2.170000,0,-1,-1
8,of,2.170000,2.250000,0,-1,-1
9,us,2.250000,2.590000,0,-1,-1
10,best,3.020000,3.280000,1,-1,-1
11,snack,3.280000,3.720000,1,-1,-1
12,worst,3.810000,4.210000,1,-1,-1
13,teeth,4.210000,4.620000,1,-1,-1
