Metric,Value
CaseId,case_000274
Transcript,Cartoum's got a rich history and beautiful architecture. Enjoy your exploration!
PlannedEventCount,30
CommittedEventCount,30
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.6009
EstimatedTextDurationSec,5.75064
AudioDurationSec,4.69688
EffectiveSegmentScaleMax,1.31155
ScaleCapHitCount,0
CommitLeadMeanSec,0.0436018
MaxVisiblePoseGapSec,0.71667
VisiblePoseGapCountOver250ms,2
