Metric,Value
CaseId,case_000138
Transcript,"The Central African Republic is home to the Bamingui-Bangoran National Park, one of the largest game reserves in Africa."
PlannedEventCount,49
CommittedEventCount,49
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.39739
EstimatedTextDurationSec,5.38707
AudioDurationSec,7.01687
EffectiveSegmentScaleMax,1.32216
ScaleCapHitCount,0
CommitLeadMeanSec,-0.00152974
MaxVisiblePoseGapSec,0.183336
VisiblePoseGapCountOver250ms,0
