Metric,Value
CaseId,case_000193
Transcript,Yemen has faced a lot of challenges recently. How can I help you today?
PlannedEventCount,29
CommittedEventCount,29
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.4523
EstimatedTextDurationSec,3.27789
AudioDurationSec,4.29688
EffectiveSegmentScaleMax,1.1371
ScaleCapHitCount,0
CommitLeadMeanSec,0.00578417
MaxVisiblePoseGapSec,0.116667
VisiblePoseGapCountOver250ms,0
