Metric,Value
CaseId,case_000134
Transcript,Ethiopia is the only country in the world with evidence of human habitation dating back over 3 million years.
PlannedEventCount,44
CommittedEventCount,44
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.5367
EstimatedTextDurationSec,4.68705
AudioDurationSec,6.45687
EffectiveSegmentScaleMax,1.42
ScaleCapHitCount,0
CommitLeadMeanSec,0.036005
MaxVisiblePoseGapSec,0.133333
VisiblePoseGapCountOver250ms,0
