word_index,word,start,end,speech_region_index,sentence_index
0,turkey's,0.100000,0.560000,0,-1
1,sliced,0.560000,0.990000,0,-1
2,ham,0.990000,1.420000,0,-1
3,swiss,1.620000,2.050000,1,-1
4,cheese,2.050000,2.560000,1,-1
5,lettuce,2.720000,3.220000,2,-1
6,and,3.280000,3.430000,2,-1
7,tomato,3.430000,3.910000,2,-1
8,on,3.910000,4.140000,2,-1
9,rye,4.140000,4.560000,2,-1
10,ham's,5.270000,5.750000,3,-1
11,just,5.750000,6.020000,3,-1
12,ham,6.020000,6.380000,3,-1
13,swiss,6.550000,7.120000,4,-1
14,lettuce,7.270000,7.750000,5,-1
15,and,7.860000,8.230000,5,-1
